series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
1,1,Annetha,Mills,30,Midwife,Essex,2,stayed in,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
1,1,David,Chambers,31,Entrepreneur,Milton Keynes,3,stayed in,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
1,1,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,1,stayed in,Caramel Cinnamon and Banana Cake,N/A
1,1,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,NA,stayed in,Fresh Mango and Passion Fruit Hummingbird Cake,N/A
1,1,Jonathan,Shepherd,25,Research Analyst,St Albans,9,stayed in,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry
1,1,Louise,Brimelow,44,Police Officer,Manchester,NA,stayed in,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
1,1,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",8,stayed in,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
1,1,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",NA,stayed in,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
1,1,Lea,Harris,51,Retired,"Midlothian, Scotland",10,Eliminated,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
1,1,Mark,Whithers,48,Bus Driver,South Wales,NA,Eliminated,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
1,2,David,Chambers,31,Entrepreneur,Milton Keynes,8,stayed in,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
1,2,Edd,Kimber,24,Debt collector for Yorkshire Bank,Bradford,6,stayed in,Oatmeal Raisin Cookie,Pink Macarons
1,2,Jasminder,Randhawa,45,Assistant Credit Control Manager,Birmingham,2,stayed in,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
1,2,Jonathan,Shepherd,25,Research Analyst,St Albans,1,stayed in,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
1,2,Miranda,Browne,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",3,stayed in,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons
1,2,Ruth,Clemens,31,Retail manager/Housewife,"Poynton, Cheshire",5,stayed in,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
1,2,Annetha,Mills,30,Midwife,Essex,7,Eliminated,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
1,2,Louise,Brimelow,44,Police Officer,Manchester,4,Eliminated,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
